,level_0,index,studyName,location,latitude,longitude,vegetation,map,mat,grouping,lai,species,speciesMatched,family,pft,growingCondition,status,light,age,a.lf,a.ssba,a.ssbh,a.ssbc,a.shba,a.shbh,a.shbc,a.sbba,a.sbbh,a.sbbc,a.stba,a.stbh,a.stbc,a.cp,a.cs,h.t,h.c,d.ba,d.bh,h.bh,d.cr,c.d,m.lf,m.ss,m.sh,m.sb,m.st,m.so,m.br,m.rf,m.rc,m.rt,m.to,a.ilf,ma.ilf,r.st,r.ss,r.sb,r.sh,n.lf,n.ss,n.sb,n.sh,n.rf,n.rc
0,3428,3428,Brown1978,northern Rocky Mountains U.S.A.,47.44,-115.7,TempF,,,,,Pinus ponderosa,Pinus ponderosa,Pinaceae,EG,FW,3.0,,7.0,,,,,,,,,,,,,,0.18679264509450197,,0.70104,0.0,,,1.3,0.48768,0.70104,0.08400672,,,,,,0.06200712,,,,,,,,,,,,,,,,
1,3455,3455,Brown1978,northern Rocky Mountains U.S.A.,47.44,-115.7,TempF,,,,,Pinus ponderosa,Pinus ponderosa,Pinaceae,EG,FW,1.0,,14.0,,,,,,,,,,,,,,0.236409441447729,,1.18872,0.3048,,,1.3,0.54864,0.88392,0.043999199999999995,,,,,,0.01701,,,,,,,,,,,,,,,,
2,3464,3464,Brown1978,northern Rocky Mountains U.S.A.,47.44,-115.7,TempF,,,,,Pinus ponderosa,Pinus ponderosa,Pinaceae,EG,FW,3.0,,7.0,,,,,,,,,,,,,,0.794598400421532,,1.31064,0.0,,,1.3,1.00584,1.31064,0.24698520000000004,,,,,,0.20597976,,,,,,,,,,,,,,,,
3,3470,3470,Brown1978,northern Rocky Mountains U.S.A.,47.44,-115.7,TempF,,,,,Pinus ponderosa,Pinus ponderosa,Pinaceae,EG,FW,3.0,,11.0,,,,,,,,,,,,,,0.456036731187748,,1.3716,0.0,,,1.3,0.762,1.3716,0.24099768,,,,,,0.19400472,,,,,,,,,,,,,,,,
4,3477,3477,Brown1978,northern Rocky Mountains U.S.A.,47.44,-115.7,TempF,,,,,Pinus ponderosa,Pinus ponderosa,Pinaceae,EG,FW,1.0,,24.0,,,,,,,,,,,,4.56036731187748e-05,,0.263406815934043,,1.40208,0.97536,,0.00762,1.3,0.57912,0.42672,0.06699672,,,,,,0.04799088,,,,,,,,,,,,,,,,
5,3478,3478,Brown1978,northern Rocky Mountains U.S.A.,47.44,-115.7,TempF,,,,,Pinus ponderosa,Pinus ponderosa,Pinaceae,EG,FW,3.0,,6.0,,,,,,,,,,,,,,0.32177951752607503,,1.40208,0.39624000000000004,,,1.3,0.64008,1.00584,0.11902464,,,,,,0.08999424,,,,,,,,,,,,,,,,
6,3488,3488,Brown1978,northern Rocky Mountains U.S.A.,47.44,-115.7,TempF,,,,,Pinus ponderosa,Pinus ponderosa,Pinaceae,EG,FW,1.0,,33.0,,,,,,,,,,,,8.107319665559971e-05,,0.656692892910357,,1.61544,0.67056,,0.010159999999999999,1.3,0.9144,0.9448799999999999,0.07498008,,,,,,0.05298048,,,,,,,,,,,,,,,,
7,3493,3493,Brown1978,northern Rocky Mountains U.S.A.,47.44,-115.7,TempF,,,,,Pinus ponderosa,Pinus ponderosa,Pinaceae,EG,FW,3.0,,7.0,,,,,,,,,,,,0.000182414692475099,,1.2265563922025702,,1.6764,0.1524,,0.01524,1.3,1.24968,1.524,0.47083679999999994,,,,,,0.39703608,,,,,,,,,,,,,,,,
8,3495,3495,Brown1978,northern Rocky Mountains U.S.A.,47.44,-115.7,TempF,,,,,Pinus ponderosa,Pinus ponderosa,Pinaceae,EG,FW,3.0,,6.0,,,,,,,,,,,,0.000248286664757774,,0.794598400421532,,1.7373599999999998,0.42672,,0.01778,1.3,1.00584,1.31064,0.17200512,,,,,,0.1390284,,,,,,,,,,,,,,,,
9,3500,3500,Brown1978,northern Rocky Mountains U.S.A.,47.44,-115.7,TempF,,,,,Pinus ponderosa,Pinus ponderosa,Pinaceae,EG,FW,3.0,,20.0,,,,,,,,,,,,0.000506707479097498,,1.1098109890185,,1.7983200000000001,0.0,,0.0254,1.3,1.18872,1.7983200000000001,1.2841416,,,,,,0.5030424,,,,,,,,,,,,,,,,
10,3503,3503,Brown1978,northern Rocky Mountains U.S.A.,47.44,-115.7,TempF,,,,,Pinus ponderosa,Pinus ponderosa,Pinaceae,EG,FW,3.0,,6.0,,,,,,,,,,,,0.000248286664757774,,1.05362726373617,,1.8288,0.0,,0.01778,1.3,1.15824,1.8288,0.32799816,,,,,,0.26798688,,,,,,,,,,,,,,,,
11,3504,3504,Brown1978,northern Rocky Mountains U.S.A.,47.44,-115.7,TempF,,,,,Pinus ponderosa,Pinus ponderosa,Pinaceae,EG,FW,3.0,,11.0,,,,,,,,,,,,0.000324292786622399,,1.2265563922025702,,1.8592799999999998,0.39624000000000004,,0.020319999999999998,1.3,1.24968,1.46304,0.6259680000000001,,,,,,0.50902992,,,,,,,,,,,,,,,,
